(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(701, -99, 4);[8, 10, 300, 40];משיח;171;(30, 2, 3, 9, 171);חמדתי;1;(30, 2, 3, 32, 701);כתפוח בעצי היער כן דודי בין הבנים בצלו חמדתי וישבתי ופריו מתוק לחכי
(2838, -60, 4);[8, 10, 300, 40];משיח;690;(30, 5, 4, 2, 690);שלח;3;(30, 5, 4, 7, 2838);דודי שלח ידו מן החר ומעי המו עליו
(2595, -29, 4);[8, 10, 300, 40];משיח;629;(30, 4, 16, 5, 629);הפיחי;4;(30, 4, 16, 21, 2595);עורי צפון ובואי תימן הפיחי גני יזלו בשמיו יבא דודי לגנו ויאכל פרי מגדיו
(3201, -16, 4);[8, 10, 300, 40];משיח;778;(30, 5, 12, 6, 778);רחצות;2;(30, 5, 12, 23, 3201);עיניו כיונים על אפיקי מים רחצות בחלב ישבות על מלאת
(4563, -5, 4);[8, 10, 300, 40];משיח;1099;(30, 8, 2, 9, 1099);הרקח;4;(30, 8, 2, 36, 4563);אנהגך אביאך אל בית אמי תלמדני אשקך מיין הרקח מעסיס רמני
(2262, -3, 4);[8, 10, 300, 40];משיח;547;(30, 4, 8, 12, 547);וחרמון;2;(30, 4, 8, 49, 2262);אתי מלבנון כלה אתי מלבנון תבואי תשורי מראש אמנה מראש שניר וחרמון ממענות אריות מהררי נמרים
(3201, -16, 5);[8, 10, 300, 40, 40];ממשיח;778;(30, 5, 12, 6, 778);רחצות;2;(30, 5, 12, 23, 3201);עיניו כיונים על אפיקי מים רחצות בחלב ישבות על מלאת
(2262, -3, 5);[8, 10, 300, 40, 40];ממשיח;547;(30, 4, 8, 12, 547);וחרמון;2;(30, 4, 8, 49, 2262);אתי מלבנון כלה אתי מלבנון תבואי תשורי מראש אמנה מראש שניר וחרמון ממענות אריות מהררי נמרים
(2265, -3, 5);[6, 8, 10, 300, 40];משיחו;547;(30, 4, 8, 12, 547);וחרמון;5;(30, 4, 8, 52, 2265);אתי מלבנון כלה אתי מלבנון תבואי תשורי מראש אמנה מראש שניר וחרמון ממענות אריות מהררי נמרים
(2265, -3, 6);[6, 8, 10, 300, 40, 40];ממשיחו;547;(30, 4, 8, 12, 547);וחרמון;5;(30, 4, 8, 52, 2265);אתי מלבנון כלה אתי מלבנון תבואי תשורי מראש אמנה מראש שניר וחרמון ממענות אריות מהררי נמרים
