ELS Search Term;(ELS Search Term #, [Gematria LetterValues], Gematria WordTotal);# Positive ELS Matches;# Negative ELS Matches
משיח;(1, [40, 300, 10, 8], 358);550;566
את משיח;(2, [1, 400, 40, 300, 10, 8], 759);6;1
למשיח;(3, [30, 40, 300, 10, 8], 388);49;44
ממשיח;(4, [40, 40, 300, 10, 8], 398);40;49
מי משיח;(5, [40, 10, 40, 300, 10, 8], 408);3;5
משיח מי;(6, [40, 300, 10, 8, 40, 10], 408);5;2
המשיח;(7, [5, 40, 300, 10, 8], 363);45;52
את המשיח;(8, [1, 400, 5, 40, 300, 10, 8], 764);0;0
מהמשיח;(9, [40, 5, 40, 300, 10, 8], 403);3;3
מי המשיח;(10, [40, 10, 5, 40, 300, 10, 8], 413);1;3
המשיח מי;(11, [5, 40, 300, 10, 8, 40, 10], 413);0;0
משיחי;(12, [40, 300, 10, 8, 10], 368);83;49
את משיחי;(13, [1, 400, 40, 300, 10, 8, 10], 769);3;0
למשיחי;(14, [30, 40, 300, 10, 8, 10], 398);9;5
ממשיחי;(15, [40, 40, 300, 10, 8, 10], 408);4;2
מי משיחי;(16, [40, 10, 40, 300, 10, 8, 10], 418);0;0
משיחי מי;(17, [40, 300, 10, 8, 10, 40, 10], 418);0;0
משיחך;(18, [40, 300, 10, 8, 20], 378);22;23
את משיחך;(19, [1, 400, 40, 300, 10, 8, 20], 779);1;0
למשיחך;(20, [30, 40, 300, 10, 8, 20], 408);2;2
ממשיחך;(21, [40, 40, 300, 10, 8, 20], 418);2;4
מי משיחך;(22, [40, 10, 40, 300, 10, 8, 20], 428);0;0
משיחך מי;(23, [40, 300, 10, 8, 20, 40, 10], 428);0;0
משיחו;(24, [40, 300, 10, 8, 6], 364);55;78
את משיחו;(25, [1, 400, 40, 300, 10, 8, 6], 765);0;0
למשיחו;(26, [30, 40, 300, 10, 8, 6], 394);8;6
ממשיחו;(27, [40, 40, 300, 10, 8, 6], 404);2;8
מי משיחו;(28, [40, 10, 40, 300, 10, 8, 6], 414);0;0
משיחו מי;(29, [40, 300, 10, 8, 6, 40, 10], 414);0;1
משיחה;(30, [40, 300, 10, 8, 5], 363);55;34
את משיחה;(31, [1, 400, 40, 300, 10, 8, 5], 764);0;0
למשיחה;(32, [30, 40, 300, 10, 8, 5], 393);5;0
ממשיחה;(33, [40, 40, 300, 10, 8, 5], 403);6;5
מי משיחה;(34, [40, 10, 40, 300, 10, 8, 5], 413);0;0
משיחה מי;(35, [40, 300, 10, 8, 5, 40, 10], 413);0;0
משיחכם;(36, [40, 300, 10, 8, 20, 40], 418);1;0
את משיחכם;(37, [1, 400, 40, 300, 10, 8, 20, 40], 819);1;0
למשיחכם;(38, [30, 40, 300, 10, 8, 20, 40], 448);0;0
ממשיחכם;(39, [40, 40, 300, 10, 8, 20, 40], 458);0;0
מי משיחכם;(40, [40, 10, 40, 300, 10, 8, 20, 40], 468);0;0
משיחכם מי;(41, [40, 300, 10, 8, 20, 40, 40, 10], 468);0;0
משיחכן;(42, [40, 300, 10, 8, 20, 50], 428);0;0
את משיחכן;(43, [1, 400, 40, 300, 10, 8, 20, 50], 829);0;0
למשיחכן;(44, [30, 40, 300, 10, 8, 20, 50], 458);0;0
ממשיחכן;(45, [40, 40, 300, 10, 8, 20, 50], 468);0;0
מי משיחכן;(46, [40, 10, 40, 300, 10, 8, 20, 50], 478);0;0
משיחכן מי;(47, [40, 300, 10, 8, 20, 50, 40, 10], 478);0;0
משיחנו;(48, [40, 300, 10, 8, 50, 6], 414);2;3
את משיחנו;(49, [1, 400, 40, 300, 10, 8, 50, 6], 815);0;0
למשיחנו;(50, [30, 40, 300, 10, 8, 50, 6], 444);1;0
ממשיחנו;(51, [40, 40, 300, 10, 8, 50, 6], 454);0;1
מי משיחנו;(52, [40, 10, 40, 300, 10, 8, 50, 6], 464);0;0
משיחנו מי;(53, [40, 300, 10, 8, 50, 6, 40, 10], 464);0;0
